gift_certificate_id,tag_id
1141,288
96,708
5890,1
4049,151
3615,530
1369,66
8097,79
1232,188
3083,232
6657,279
1323,721
9383,168
6262,789
1659,482
1682,287
4165,971
2201,585
8518,722
5344,879
9087,335
6930,699
4559,742
8209,239
766,509
2605,227
8541,247
5436,522
1610,393
3492,842
816,800
8343,922
9825,75
1132,166
8457,225
2272,402
6528,429
3232,331
5855,433
2655,196
3463,388
7122,657
2218,941
4330,170
4274,697
4239,459
3726,692
7974,109
5005,770
7168,382
6292,655
3927,851
2817,859
5742,425
9234,213
9369,728
1271,154
4960,694
880,178
7010,42
6414,943
7385,149
8010,768
289,960
6318,215
8303,815
7162,884
5668,691
9951,860
3753,363
3670,9
2465,215
7606,696
3322,220
1961,104
207,323
693,675
7402,686
9165,245
506,514
8301,613
7930,709
3824,122
119,243
5863,804
6986,228
8020,338
6744,633
6968,524
3876,106
4358,809
7647,528
1940,507
7459,41
1438,881
7747,750
8100,861
5326,753
2150,538
8322,639
6841,89
6330,391
4052,793
5212,731
10,107
9890,393
8569,945
780,21
8486,265
5148,875
3758,971
995,705
300,947
4174,940
8057,920
4183,160
6915,748
4211,347
1765,374
1230,401
9859,15
398,37
8919,382
8937,864
7836,512
9048,950
228,957
2632,713
9895,927
3613,457
3759,581
9253,81
6885,829
7011,109
5243,731
8441,475
1420,114
8892,361
9313,63
8135,648
542,553
1569,294
161,468
1365,734
4855,708
3573,249
122,666
249,405
896,959
3483,63
6809,785
3403,53
6678,430
8081,908
679,902
7817,927
1142,713
4031,823
4238,631
641,221
6933,966
6228,816
3738,595
4631,476
892,484
2714,971
7143,751
9670,269
2125,105
6259,586
6602,228
6667,583
9263,430
1348,299
2626,202
9814,458
8956,128
3688,714
1627,524
6786,73
9665,332
8194,584
6309,810
2127,363
7464,135
6105,320
57,478
5601,466
3000,40
8898,943
4605,165
2137,887
5025,813
761,586
3825,253
1060,688
4258,553
6198,328
4084,83
9523,117
2178,772
5524,129
5913,662
4522,418
5679,903
4144,124
6342,735
6120,802
1183,932
815,817
7339,626
9802,494
286,922
8935,452
8578,232
572,217
872,773
7257,688
6119,86
2960,840
3612,658
184,479
8383,982
543,690
9414,817
2101,476
14,135
3824,591
7916,59
996,669
7686,999
5601,336
8461,197
361,860
95,923
1903,33
6361,241
4563,76
6080,501
6553,46
8678,203
5108,41
218,581
2158,952
3912,135
8969,553
9859,627
718,361
981,682
6330,641
9466,194
6811,19
6272,178
8401,760
6786,307
9833,291
4034,54
8014,566
4892,520
3144,265
9814,84
4695,875
266,637
469,10
1693,95
9777,925
8681,15
991,674
5218,493
4131,844
7408,456
2737,85
1511,606
1499,932
8253,506
8720,578
3679,368
6597,863
7241,806
9914,990
1304,830
5910,583
3288,58
4225,389
9546,128
439,996
1067,470
5244,526
8101,385
7240,420
4872,115
1841,663
2231,400
5580,500
3544,236
9500,716
5013,423
7141,910
8644,690
7559,94
1839,760
9774,698
4623,875
4717,898
8433,134
528,340
820,571
5030,16
6467,927
3605,929
4995,922
348,718
1773,328
4952,684
7557,614
6615,120
6289,630
2363,726
1374,486
2009,348
9278,660
6570,221
1835,611
6338,930
9199,698
2633,936
3295,826
5941,262
7259,259
5208,135
3804,788
1424,229
4723,932
7105,452
3350,776
8783,161
7269,14
15,839
2652,814
5351,567
6942,565
7637,58
3511,725
7905,802
365,974
7,878
9651,67
9670,140
5176,428
7483,251
9001,183
5950,144
8201,103
2097,317
8251,754
9966,911
7238,954
4399,815
243,85
8778,747
1422,908
4150,361
7758,999
1956,660
460,861
3220,837
659,285
6664,512
9702,620
2371,249
5153,474
9770,282
9778,89
1546,11
6268,152
1157,433
5501,1
1086,991
7673,235
3678,820
9070,549
2705,963
4325,160
8458,440
2878,928
8449,404
8479,629
2322,668
9312,133
3826,687
8453,185
335,894
7460,889
2870,65
1758,674
7445,736
2524,417
3415,965
2036,14
8494,818
2431,715
7231,699
3070,711
5845,920
7687,441
607,634
8518,681
9749,722
5159,377
2175,543
8725,781
2638,613
1835,110
1517,431
2878,267
4645,917
2836,564
4438,131
4615,335
5871,35
3049,366
2962,735
6139,111
8839,571
4420,619
4499,827
7960,307
9458,462
4512,110
5153,198
5599,154
6330,502
9760,143
3507,288
2371,844
2610,182
7893,183
2382,506
4847,529
9992,74
2253,580
9891,668
8164,637
1216,977
6183,981
6791,352
8194,389
4746,152
7331,793
7592,471
7596,596
3345,597
3582,269
378,613
683,440
9774,922
1107,442
9724,979
1643,964
6861,339
215,374
6693,256
1655,909
3619,400
7084,87
7732,691
7693,528
3136,629
2457,392
3105,548
5997,509
9090,179
43,756
2409,377
4169,495
9872,768
1077,421
4495,386
9269,80
4319,449
9068,638
9046,981
6663,287
1533,582
1286,344
7340,772
6539,139
7389,513
4644,491
2511,409
6685,984
9830,214
995,5
5832,349
790,927
7021,167
9599,861
6409,961
6039,927
5125,718
6031,658
2488,74
7608,215
1148,969
6817,936
9217,436
8280,23
7803,922
6547,691
8821,662
7032,804
5033,201
6413,567
8125,792
4975,777
9089,537
9779,533
8060,10
7358,909
4527,884
8898,614
6670,143
57,266
3385,937
814,718
3073,912
454,850
146,798
1554,48
4322,194
4023,323
4718,904
276,385
4584,295
2169,770
1865,745
2384,997
7719,90
1376,361
1955,376
2291,875
7109,779
4697,996
4917,128
5188,8
8545,688
4773,260
4824,567
1421,762
1148,621
8072,44
7203,311
5321,562
6745,48
790,925
6610,794
8521,57
9643,527
6115,693
4351,32
8931,331
7759,210
9158,498
2679,979
5150,205
9472,375
2461,575
5684,186
1552,400
2469,907
3216,444
483,594
3464,61
8360,421
2950,955
9557,449
3272,84
7278,476
2677,511
3951,34
2942,695
5330,874
9779,286
5483,278
4881,779
3717,212
4461,527
7099,449
2831,183
8629,855
6622,847
6841,559
2488,498
481,163
8468,93
9176,644
49,213
6135,626
9107,174
6157,61
5118,559
9326,516
5839,744
32,799
3734,279
1929,86
6480,539
3715,447
113,973
6256,480
2377,386
4307,396
8612,727
2068,233
9139,84
5387,110
5666,802
3439,104
9144,168
9754,505
4949,249
7894,568
8996,832
9962,466
8416,167
6149,937
5481,136
8230,127
1280,537
6548,856
5375,770
8858,290
7397,84
5188,845
1955,268
5326,843
9982,121
9849,989
5961,862
4959,29
7312,741
3913,747
4687,601
5611,431
9792,218
9757,378
5131,119
9670,725
3625,500
8286,816
3136,151
2701,574
6339,771
9388,427
1509,833
5303,266
