gift_certificate_id,order_id,price,quantity
7851,12,61129373,2
3130,610,3742273,11
8641,448,64417575,4
6801,265,31798682,14
3312,612,69212842,9
2417,5,46844760,5
1495,912,78001851,14
2486,404,68866486,1
2522,751,55998594,2
8341,655,43764410,6
1037,767,6652897,12
5683,956,3300258,6
6764,446,55070326,13
4769,927,49081470,11
5434,282,96159400,6
8298,40,52974581,7
7590,581,1690575,14
7050,211,12057076,10
1748,279,46829812,7
9377,626,76122761,3
8790,358,32139581,12
8533,777,58616572,5
2604,779,56407046,8
6934,37,58376886,1
2378,606,8344730,14
9399,105,71719992,7
3258,874,73673758,3
4595,17,84315481,13
5205,769,52188408,7
7182,727,60679184,14
9949,692,66850034,13
6465,568,98274807,2
6947,404,23633620,5
5425,774,25268866,11
6406,855,47643572,14
405,388,86497272,4
9359,647,3190345,13
5148,112,34581995,8
9996,102,99230792,4
4356,791,81938127,11
8917,599,50369506,1
7803,512,37493220,11
5163,747,83152301,13
2511,628,94139545,9
8275,425,99002499,14
5363,59,62315766,9
585,726,33169858,7
7816,6,33931367,12
362,719,8699737,7
8840,809,46341004,6
2717,286,40816975,11
2802,483,25919317,6
1602,385,41999074,1
8012,819,22133503,12
9755,920,99674311,1
1802,934,96483438,8
4077,982,82653357,8
5410,500,72313511,1
9613,566,72812306,4
6501,855,30290107,9
4669,960,28071572,6
5852,329,4811599,4
4975,254,46614678,14
8130,409,24397202,5
3206,897,36023578,5
6566,727,83060726,10
6620,402,4948606,4
915,970,18336181,2
6177,422,58742248,4
6533,568,92585009,2
9340,610,3477153,5
336,759,20468213,8
3220,391,93032077,11
4950,5,91870618,11
1295,620,73457110,3
2790,813,12518561,8
702,346,34566561,6
8217,24,68437863,11
9712,281,36388279,1
6921,543,62700039,13
1976,497,91334440,10
402,430,62526581,9
5027,847,9058161,1
8337,743,80019244,2
4847,508,21735924,10
4141,813,73051398,5
7060,178,78178152,3
6410,872,4777355,9
9931,832,98534685,11
8994,424,48690576,9
7206,733,88887906,14
9333,651,91857201,4
4809,243,56193283,3
3258,939,48819859,6
7667,615,99493158,13
6485,411,97174236,9
7997,504,3992632,1
7575,19,22178083,1
209,577,96710618,10
9242,756,36469484,1
2595,553,73311637,6
3101,863,26062620,1
3441,601,1497890,4
4293,625,99126504,5
7611,258,17449666,7
6113,917,47078192,7
209,501,16360079,11
9722,807,46031716,1
2506,940,60262483,2
6781,573,32059943,14
2436,986,65728253,3
35,937,63127963,6
5863,658,92007760,10
5818,935,44346076,5
827,271,37758815,12
6997,512,8166271,8
1405,5,3354642,7
222,896,63112479,3
9375,238,18554174,9
2599,314,45890881,2
8701,767,16192284,5
8869,794,42864991,5
4967,261,1245272,6
1958,512,23662708,11
9043,121,1621794,14
9040,143,37382713,10
267,732,72843091,5
7500,818,8240021,11
8118,295,93860353,14
3505,767,65019158,5
5759,718,99245349,11
8837,224,99209062,6
15,454,72089459,2
2979,460,17915945,11
3938,472,28770885,3
659,85,56502433,10
1780,244,59564005,13
5733,305,38065844,2
4700,670,42308398,3
1497,612,80642060,12
7402,303,34218368,5
973,942,47077355,5
1152,211,53840179,13
4796,496,28034359,7
1535,314,58392429,9
6280,91,85241176,10
738,584,66974843,9
369,993,57826253,11
6654,485,41448225,11
7428,270,58121799,4
7730,244,78616421,6
7660,502,65757039,14
3897,932,3210604,12
281,167,17498030,10
4503,645,22192490,8
2729,843,31500117,2
6324,756,21332731,14
811,517,74812053,13
7327,349,86678729,6
3046,490,93096677,9
9262,695,23816941,2
9614,742,75374265,7
3097,765,31281452,2
475,68,96233229,14
9287,664,73025587,1
2886,663,89339006,13
1841,148,10300705,10
2998,790,34488506,14
7142,650,58731532,9
6048,211,16014010,13
29,714,68514884,5
2044,650,83664047,10
3863,936,45548392,9
7595,921,28314300,4
8019,366,92063226,12
6395,75,19904248,8
4202,352,38344991,6
4804,385,32535475,11
5044,840,658292,9
9775,577,66806183,8
3114,438,29304809,6
3353,705,20103406,12
3670,324,77570532,4
2897,347,25035049,13
5155,166,89586949,12
2671,439,18464376,1
6113,737,13560893,13
9149,709,28593240,4
6976,387,50209529,3
7813,836,18375729,11
1513,591,3028640,3
6090,87,42878237,3
5900,78,5864885,12
6815,816,26653489,13
2534,292,75181150,9
5693,282,87773780,10
379,551,54140802,13
8445,49,14719508,10
9824,181,70089876,10
4091,29,39261571,8
3083,977,32908319,12
6504,475,54304310,13
1206,630,94820854,7
842,585,14602174,13
7130,372,11867366,1
5449,526,31315691,8
9308,379,82900569,8
1151,590,46297295,4
8988,227,28997810,9
9528,41,761012,8
82,660,78209097,4
1006,657,59542864,6
346,831,96321654,1
9094,335,98012447,11
6647,788,90598013,4
6455,43,76668654,8
1671,723,59107837,13
2956,555,91649615,10
3647,555,4972868,13
7440,99,44063121,4
7836,432,46634662,4
6270,426,31584890,8
2467,508,92666985,3
1349,736,91784279,14
8930,252,4742041,6
663,738,10129649,7
9150,291,67206926,5
2851,95,3800445,8
3472,632,48759635,3
5758,483,90319096,11
4071,28,61063839,12
6280,751,53726488,9
6375,84,99219800,7
513,63,20734664,1
3309,986,36837789,5
7541,961,27900049,3
4699,361,81775616,8
2488,704,39020643,6
3487,307,97053945,1
1275,314,85196930,3
7538,44,71663201,3
1028,546,51485014,4
4251,442,88252352,9
1149,567,98673387,7
7480,459,31776380,4
9337,35,37961296,14
6935,582,14358487,11
925,168,91808657,1
1345,205,58221734,10
2451,78,4902405,13
8457,533,7743218,12
8219,801,29492146,11
3198,525,29115485,10
9958,585,22979627,11
6641,783,50777020,8
4022,770,19179136,4
5239,865,45492733,13
9849,277,20023714,10
4099,394,42162218,6
9573,573,11105401,13
2875,362,42487772,8
8770,250,2134685,8
9750,863,4632648,7
5699,529,52194107,2
3417,820,28276145,14
3459,385,79649691,1
3250,621,25872518,9
1630,829,76167574,2
6726,615,23279748,1
3453,624,37990579,4
8439,905,93501233,2
2300,739,10041340,13
8717,346,5851476,2
2902,155,54678933,13
5656,381,24231465,4
9907,419,38686364,3
1016,955,78890437,14
2959,482,73029187,11
4406,9,11267860,7
4499,675,81352292,9
5204,378,73054055,12
7710,625,80105472,8
683,330,47444442,14
3822,124,28367636,6
5182,789,2024391,4
9498,146,58521868,6
6157,341,69619589,4
418,106,45274454,13
5678,656,73578479,9
6886,570,37443298,7
1541,271,88657198,14
75,766,33498586,5
7246,688,92260317,10
6545,539,63634960,6
7923,341,20118958,7
9286,519,47642928,14
8774,583,39606159,11
3879,670,73628014,14
4151,544,12078091,10
2590,619,38239242,12
64,379,55719668,5
1834,792,23640829,1
198,361,82082872,5
3687,944,54800133,9
7943,924,8831285,6
3703,609,92896717,1
9515,974,24522331,2
4179,957,11585987,3
9583,352,42339727,8
9620,123,77895758,2
3472,367,70632957,1
8496,389,57956105,7
9955,486,88479961,5
5312,958,47905494,6
4503,503,40236232,3
5472,126,61129212,1
2451,648,38952504,1
5213,998,67282460,10
1453,4,7673806,1
9025,902,20449777,8
3948,775,11533205,14
725,781,64173159,14
8727,26,9904373,7
7201,570,53783393,4
7556,644,78191337,3
9989,563,94909108,14
8131,213,18943746,8
8817,476,49488283,8
2986,839,81430917,11
102,679,99008718,7
63,390,14415661,7
8995,214,95163272,9
4655,855,24785181,4
1201,3,56421571,12
8257,119,11885579,13
5917,114,11804068,6
5311,551,16043580,13
7556,765,21147601,2
6537,318,19551277,9
4185,454,9735884,9
2614,614,6241582,1
2278,236,42829504,5
2750,982,94663919,13
5605,131,87226464,13
2717,747,96428097,5
535,71,81979994,10
6436,172,60504333,12
8072,955,41361822,6
211,520,59805527,14
515,92,16938228,5
1224,864,60588837,11
8188,320,51578007,8
4457,303,33752525,10
4895,748,54585631,3
7942,363,38306314,1
6311,626,48850155,5
5686,575,87075600,1
5326,894,84090008,3
5776,669,22650611,3
4648,47,88116541,5
6558,82,35640748,8
6175,742,88253806,4
9737,407,18340372,10
7083,114,66386640,7
3762,286,20480171,4
4489,475,99045765,8
4623,158,9385034,12
5220,357,72582975,11
4813,60,40035506,8
2698,984,70251029,12
6921,598,6714978,2
7112,152,47201558,7
55,730,81257473,3
8416,637,87499017,3
916,805,4183499,7
6483,63,75061586,9
6815,436,20776391,10
7128,115,22641487,6
5834,378,55207230,12
4078,865,83986131,5
6852,629,81465668,12
5445,547,90622186,12
1842,220,45757155,7
9425,242,17815667,9
8475,451,44363923,4
9441,823,75155950,13
5039,421,59557653,7
850,25,77317474,4
9654,731,77508469,1
2478,959,7208044,2
5293,364,46501442,7
6572,762,44919948,5
2002,922,317859,14
4216,564,36627387,13
8778,924,28775864,2
9513,443,75935973,3
4463,232,49898701,3
4671,160,38193491,13
3785,309,74629575,9
3579,258,23350179,11
9716,255,26305909,3
211,816,80466042,6
3652,912,14098479,5
6712,948,18338001,2
6041,305,4716475,6
2630,238,87400201,1
5404,115,57876909,2
8179,785,50450260,9
6904,546,15212235,10
1799,597,13884278,9
4266,98,84594840,8
184,59,21739595,7
1256,660,97649458,1
2110,807,47896131,11
3804,222,62209032,13
2372,692,58333185,9
4082,521,63334333,2
7962,487,90647678,1
1663,417,99926378,3
3921,320,2258710,7
8971,149,98708519,3
8091,452,40876607,13
669,419,31644492,14
9747,233,39311480,11
5144,267,14616328,7
4248,92,63387524,9
7534,969,88646586,12
8083,314,34140273,1
1996,140,931304,2
7049,425,77037093,14
1125,750,5851988,6
1701,948,3257170,14
238,265,65083579,2
1735,525,5752051,12
5148,348,40457476,12
5653,615,7452066,11
772,256,75817688,12
2231,305,2972224,2
4961,190,38458788,10
335,256,46900901,12
9366,952,77036401,8
6629,216,88739146,10
823,204,57372851,5
208,930,39116622,7
6759,306,30045008,13
1906,198,71087540,11
2349,562,62965315,14
1410,383,77167423,4
8790,600,90334662,9
8443,531,9025513,13
3682,85,75269612,1
7308,673,6833332,8
7985,886,99833811,11
9557,555,61415628,11
2417,52,30880394,2
5860,903,53312337,10
4325,315,47789274,6
271,778,65353573,3
2152,439,54622294,2
4449,692,98828831,8
4934,64,18521844,4
3849,44,30276653,5
9857,165,37107789,12
2220,989,27544878,7
5510,54,58642319,6
1950,647,53858819,1
2333,853,51299288,8
84,508,29408449,8
630,746,60771002,8
7184,279,31416882,6
125,154,43517047,13
4073,860,92314932,4
1635,82,55542910,6
1056,573,36715527,12
5254,165,2094501,8
5306,786,31610555,7
8702,821,73015911,7
3814,753,74614871,4
7395,198,40328471,1
2123,676,61277975,6
9300,287,35332133,13
9523,902,44413741,7
3796,761,99661988,8
2580,782,85834671,4
8373,957,99245630,9
1303,448,84458906,6
3355,284,65178574,13
1693,326,63369016,12
5523,648,60166276,4
4326,390,52568546,14
3773,240,9572469,9
7568,193,1403866,14
3392,177,20414044,4
6834,27,24247588,7
